state,constituency,candidate,party,party_normalized,alliance,votes,vote_share,total_votes,turnout,is_winner,position,margin,margin_pct,year
Uttar Pradesh,Uttar Pradesh PC 1,Candidate 1 (BJP),BJP,BJP,NDA,418537,61.5,680564,57.1,True,1,260843,38.33,2014
Uttar Pradesh,Uttar Pradesh PC 1,Candidate 2 (INC),INC,INC,UPA,157694,23.17,680564,70.7,False,2,0,0,2014
Uttar Pradesh,Uttar Pradesh PC 1,Candidate 3 (OTH),OTH,OTH,,104331,15.33,680564,61.7,False,3,0,0,2014
Uttar Pradesh,Uttar Pradesh PC 2,Candidate 1 (JDU),JDU,JDU,,229082,24.01,954111,71.8,True,1,3328,0.35,2014
Uttar Pradesh,Uttar Pradesh PC 2,Candidate 2 (BJP),BJP,BJP,NDA,225754,23.66,954111,74.2,False,2,0,0,2014
Uttar Pradesh,Uttar Pradesh PC 2,Candidate 3 (TMC),TMC,TMC,,222832,23.35,954111,58.1,False,3,0,0,2014
Uttar Pradesh,Uttar Pradesh PC 2,Candidate 4 (DMK),DMK,DMK,,203387,21.32,954111,58.0,False,4,0,0,2014
Uttar Pradesh,Uttar Pradesh PC 2,Candidate 5 (SP),SP,SP,,73054,7.66,954111,71.7,False,5,0,0,2014
Uttar Pradesh,Uttar Pradesh PC 3,Candidate 1 (TMC),TMC,TMC,,201483,42.54,473673,66.0,True,1,51670,10.91,2014
Uttar Pradesh,Uttar Pradesh PC 3,Candidate 2 (BJP),BJP,BJP,NDA,149813,31.63,473673,73.8,False,2,0,0,2014
Uttar Pradesh,Uttar Pradesh PC 3,Candidate 3 (BSP),BSP,BSP,,87515,18.48,473673,60.1,False,3,0,0,2014
Uttar Pradesh,Uttar Pradesh PC 3,Candidate 4 (OTH),OTH,OTH,,34861,7.36,473673,74.0,False,4,0,0,2014
Uttar Pradesh,Uttar Pradesh PC 4,Candidate 1 (BJP),BJP,BJP,NDA,192183,26.03,738209,55.9,True,1,10460,1.42,2014
Uttar Pradesh,Uttar Pradesh PC 4,Candidate 2 (TMC),TMC,TMC,,181723,24.62,738209,67.0,False,2,0,0,2014
Uttar Pradesh,Uttar Pradesh PC 4,Candidate 3 (BRS),BRS,BRS,,175299,23.75,738209,71.4,False,3,0,0,2014
Uttar Pradesh,Uttar Pradesh PC 4,Candidate 4 (INC),INC,INC,UPA,97590,13.22,738209,57.3,False,4,0,0,2014
Uttar Pradesh,Uttar Pradesh PC 4,Candidate 5 (DMK),DMK,DMK,,91411,12.38,738209,63.1,False,5,0,0,2014
Uttar Pradesh,Uttar Pradesh PC 5,Candidate 1 (TDP),TDP,TDP,NDA,261174,27.16,961677,59.6,True,1,30994,3.22,2014
Uttar Pradesh,Uttar Pradesh PC 5,Candidate 2 (OTH),OTH,OTH,,230180,23.94,961677,71.9,False,2,0,0,2014
Uttar Pradesh,Uttar Pradesh PC 5,Candidate 3 (SP),SP,SP,,138208,14.37,961677,61.6,False,3,0,0,2014
Uttar Pradesh,Uttar Pradesh PC 5,Candidate 4 (INC),INC,INC,UPA,128907,13.4,961677,62.2,False,4,0,0,2014
Uttar Pradesh,Uttar Pradesh PC 5,Candidate 5 (BJP),BJP,BJP,NDA,128268,13.34,961677,59.7,False,5,0,0,2014
Uttar Pradesh,Uttar Pradesh PC 5,Candidate 6 (BRS),BRS,BRS,,74937,7.79,961677,55.5,False,6,0,0,2014
Uttar Pradesh,Uttar Pradesh PC 6,Candidate 1 (BJP),BJP,BJP,NDA,235060,37.3,630130,66.4,True,1,57208,9.08,2014
