state,constituency,candidate,party,party_normalized,alliance,votes,vote_share,total_votes,turnout,is_winner,position,margin,margin_pct,year
Uttar Pradesh,Uttar Pradesh PC 1,Candidate 1 (TMC),TMC,TMC,,371807,32.14,1156872,62.2,True,1,16554,1.43,2019
Uttar Pradesh,Uttar Pradesh PC 1,Candidate 2 (AIADMK),AIADMK,AIADMK,NDA,355253,30.71,1156872,55.2,False,2,0,0,2019
Uttar Pradesh,Uttar Pradesh PC 1,Candidate 3 (OTH),OTH,OTH,,221802,19.17,1156872,61.3,False,3,0,0,2019
Uttar Pradesh,Uttar Pradesh PC 1,Candidate 4 (BJP),BJP,BJP,NDA,118007,10.2,1156872,75.9,False,4,0,0,2019
Uttar Pradesh,Uttar Pradesh PC 1,Candidate 5 (YSR),YSR,YSR,,90001,7.78,1156872,69.8,False,5,0,0,2019
Uttar Pradesh,Uttar Pradesh PC 2,Candidate 1 (BJP),BJP,BJP,NDA,388707,49.85,779828,57.9,True,1,165541,21.23,2019
Uttar Pradesh,Uttar Pradesh PC 2,Candidate 2 (TMC),TMC,TMC,,223166,28.62,779828,75.9,False,2,0,0,2019
Uttar Pradesh,Uttar Pradesh PC 2,Candidate 3 (AIADMK),AIADMK,AIADMK,NDA,86994,11.16,779828,71.6,False,3,0,0,2019
Uttar Pradesh,Uttar Pradesh PC 2,Candidate 4 (YSR),YSR,YSR,,80959,10.38,779828,57.6,False,4,0,0,2019
Uttar Pradesh,Uttar Pradesh PC 3,Candidate 1 (BJP),BJP,BJP,NDA,426309,55.85,763323,62.9,True,1,89296,11.7,2019
Uttar Pradesh,Uttar Pradesh PC 3,Candidate 2 (JDU),JDU,JDU,NDA,337013,44.15,763323,57.5,False,2,0,0,2019
Uttar Pradesh,Uttar Pradesh PC 4,Candidate 1 (BJP),BJP,BJP,NDA,354486,51.65,686369,77.0,True,1,22604,3.29,2019
Uttar Pradesh,Uttar Pradesh PC 4,Candidate 2 (AIADMK),AIADMK,AIADMK,NDA,331882,48.35,686369,74.8,False,2,0,0,2019
Uttar Pradesh,Uttar Pradesh PC 5,Candidate 1 (SP),SP,SP,SP-BSP,387208,39.49,980444,58.0,True,1,68892,7.03,2019
Uttar Pradesh,Uttar Pradesh PC 5,Candidate 2 (BJP),BJP,BJP,NDA,318316,32.47,980444,57.1,False,2,0,0,2019
Uttar Pradesh,Uttar Pradesh PC 5,Candidate 3 (INC),INC,INC,UPA,274919,28.04,980444,69.0,False,3,0,0,2019
Uttar Pradesh,Uttar Pradesh PC 6,Candidate 1 (AIADMK),AIADMK,AIADMK,NDA,262174,36.73,713837,64.0,True,1,29671,4.16,2019
Uttar Pradesh,Uttar Pradesh PC 6,Candidate 2 (INC),INC,INC,UPA,232503,32.57,713837,77.6,False,2,0,0,2019
Uttar Pradesh,Uttar Pradesh PC 6,Candidate 3 (BJP),BJP,BJP,NDA,219158,30.7,713837,63.7,False,3,0,0,2019
Uttar Pradesh,Uttar Pradesh PC 7,Candidate 1 (TMC),TMC,TMC,,217045,33.96,639196,71.0,True,1,3777,0.59,2019
Uttar Pradesh,Uttar Pradesh PC 7,Candidate 2 (BJP),BJP,BJP,NDA,213268,33.37,639196,66.5,False,2,0,0,2019
Uttar Pradesh,Uttar Pradesh PC 7,Candidate 3 (AIADMK),AIADMK,AIADMK,NDA,143265,22.41,639196,59.5,False,3,0,0,2019
Uttar Pradesh,Uttar Pradesh PC 7,Candidate 4 (OTH),OTH,OTH,,65616,10.27,639196,65.4,False,4,0,0,2019
Uttar Pradesh,Uttar Pradesh PC 8,Candidate 1 (JDU),JDU,JDU,NDA,425066,51.8,820527,67.7,True,1,29606,3.61,2019
Uttar Pradesh,Uttar Pradesh PC 8,Candidate 2 (BJP),BJP,BJP,NDA,395460,48.2,820527,64.1,False,2,0,0,2019
Uttar Pradesh,Uttar Pradesh PC 9,Candidate 1 (BJP),BJP,BJP,NDA,372183,33.16,1122522,60.8,True,1,9451,0.84,2019
Uttar Pradesh,Uttar Pradesh PC 9,Candidate 2 (SP),SP,SP,SP-BSP,362732,32.31,1122522,73.3,False,2,0,0,2019
Uttar Pradesh,Uttar Pradesh PC 9,Candidate 3 (INC),INC,INC,UPA,318932,28.41,1122522,72.4,False,3,0,0,2019
Uttar Pradesh,Uttar Pradesh PC 9,Candidate 4 (OTH),OTH,OTH,,68672,6.12,1122522,68.1,False,4,0,0,2019
Uttar Pradesh,Uttar Pradesh PC 10,Candidate 1 (JDU),JDU,JDU,NDA,178717,26.2,682233,67.8,True,1,9781,1.43,2019
Uttar Pradesh,Uttar Pradesh PC 10,Candidate 2 (INC),INC,INC,UPA,168936,24.76,682233,74.2,False,2,0,0,2019
Uttar Pradesh,Uttar Pradesh PC 10,Candidate 3 (BJP),BJP,BJP,NDA,150878,22.12,682233,62.7,False,3,0,0,2019
Uttar Pradesh,Uttar Pradesh PC 10,Candidate 4 (IND),IND,IND,,103623,15.19,682233,70.2,False,4,0,0,2019
