State,Year,Party,Votes,Seats
West Bengal,2004,INC,4753108,24
West Bengal,2004,BJP,2548536,10
West Bengal,2004,CPM,4306711,35
West Bengal,2004,AITC,748195,25
West Bengal,2004,DMK,2319150,27
West Bengal,2004,AIADMK,883433,11
West Bengal,2004,OTHERS,887653,41
Assam,2004,INC,2733099,4
Assam,2004,BJP,1949511,29
Assam,2004,CPM,2218142,12
Assam,2004,AITC,1647033,22
Assam,2004,DMK,1453097,23
Assam,2004,AIADMK,2787597,16
Assam,2004,OTHERS,1584144,29
Tamil Nadu,2004,INC,4829891,20
Tamil Nadu,2004,BJP,2827433,39
Tamil Nadu,2004,CPM,642120,12
Tamil Nadu,2004,AITC,3198547,33
Tamil Nadu,2004,DMK,3316008,15
Tamil Nadu,2004,AIADMK,793015,33
Tamil Nadu,2004,OTHERS,4451082,32
Kerala,2004,INC,559636,11
Kerala,2004,BJP,4069475,32
Kerala,2004,CPM,2789239,1
Kerala,2004,AITC,3557186,35
Kerala,2004,DMK,4332755,41
Kerala,2004,AIADMK,933548,15
Kerala,2004,OTHERS,1450714,14
